model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC
IsolationForest,8,1,0.65473,0.75284,0.375,0.9428571428571428,0.81818,0.6875,0.40092
Xgboost,8,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
RandomForestClassifier,9,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,9,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,9,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,9,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,9,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,9,0,0.48457,0.49337,0.16666666666666666,0.8113207547169812,0.09091,0.89583,-0.01708
Xgboost,9,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,9,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,9,1,0.48457,0.49337,0.16666666666666666,0.8113207547169812,0.09091,0.89583,-0.01708
KNN,9,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,9,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,9,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,9,1,0.73848,0.75568,0.5384615384615384,0.9130434782608695,0.63636,0.875,0.4805
Xgboost,9,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
RandomForestClassifier,10,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,10,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,10,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,10,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,10,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,10,0,0.47556,0.48295,0.14285714285714285,0.8076923076923077,0.09091,0.875,-0.04106
Xgboost,10,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,10,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,10,1,0.54096,0.54261,0.25,0.8297872340425532,0.27273,0.8125,0.08246
KNN,10,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,10,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,10,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,10,1,0.67186,0.73864,0.4,0.9230769230769231,0.72727,0.75,0.39268
Xgboost,10,1,0.54096,0.54261,0.25,0.8297872340425532,0.27273,0.8125,0.08246
RandomForestClassifier,11,0,0.56618,0.55966,0.4,0.8333333333333334,0.18182,0.9375,0.16686
DecisionTree,11,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,11,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,11,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,11,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,11,0,0.49716,0.49716,0.18181818181818182,0.8125,0.18182,0.8125,-0.00568
Xgboost,11,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,11,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
