model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC,ATT
OneClassSVM,1,0.33333,0.5,0.5,,1.0,0.0,0.0,[0. 1.],[0. 1.],0.5,1
LocalOutlierFactor,1,0.44862,0.45,0.45454545454545453,0.4444444444444444,0.5,0.4,-0.1005,[0.  0.  0.  0.1 0.1 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 0.7 0.7 0.9 0.9 1. ],0.52,1
IsolationForest,1,0.40476,0.5,0.5,0.5,0.1,0.9,0.0,[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.9 0.9 1.  1. ],[0.  0.1 0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.7 0.7 0.9 0.9 1. ],0.43000000000000005,1
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.2 0.3 0.5 0.7 0.7 0.8 0.9 0.9 1. ],[0.  0.1 0.1 0.2 0.2 0.2 0.6 0.7 0.7 1.  1. ],0.6500000000000001,1
RandomForest,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,2
DecisionTree,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 1. ],[0. 0. 1.],0.55,2
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 0. 1.],[0.  0.1 1. ],0.45,2
OneClassSVM,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.  0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 0.9 0.9 1. ],[0.  0.1 0.1 0.2 0.2 0.5 0.5 0.8 0.8 0.9 0.9 1.  1. ],0.44,2
LocalOutlierFactor,1,0.47917,0.5,0.5,0.5,0.7,0.3,0.0,[0.  0.  0.  0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1. ],0.44000000000000006,2
IsolationForest,1,0.53964,0.55,0.5714285714285714,0.5384615384615384,0.4,0.7,0.10483,[0.  0.1 0.2 0.2 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.  0.  0.6 0.6 0.7 0.7 0.9 0.9 1. ],0.42,2
